ratio15/10Delta_Point_110_x/Delta_Point_110_y,2.6+/-2.9
FNM450Delta_Point_111_x/Delta_Point_111_y,(2.1+/-1.0)e+03
Sum450_Delta_Point_112_x/Delta_Point_112_y,
Sum150_Delta_Point_113_x/Delta_Point_113_y,
ratio15/10Delta_Point_113_x/Delta_Point_113_y,3.0+/-2.7
FNM300Delta_Point_114_x/Delta_Point_114_y,(1.8+/-1.0)e+03
Sum450_Delta_Point_115_x/Delta_Point_115_y,
Sum150_Delta_Point_116_x/Delta_Point_116_y,
ratio15/10Delta_Point_116_x/Delta_Point_116_y,3+/-4
FNM450Delta_Point_117_x/Delta_Point_117_y,(3.7+/-1.0)e+03
FNM150Delta_Point_118_x/Delta_Point_118_y,(1.1+/-0.8)e+03
Sum300_Delta_Point_119_x/Delta_Point_119_y,
RMSDelta_Point_120_x/Delta_Point_120_y,
ratio10/5Delta_Point_120_x/Delta_Point_120_y,nan+/-nan
FNM300Delta_Point_121_x/Delta_Point_121_y,
Sum450_Delta_Point_122_x/Delta_Point_122_y,
Sum150_Delta_Point_123_x/Delta_Point_123_y,
ratio15/10Delta_Point_123_x/Delta_Point_123_y,
FNM450RMSDelta_Point_0_x/Delta_Point_0_y/Sum150_Delta_Point_0_x/Delta_Point_0_y,(1.5326+/-0.0032)e+05
FNM450Delta_Point_0_x/Delta_Point_0_y,1016+/-27
Sum450_Delta_Point_1_x/Delta_Point_1_y,
RMSDelta_Point_2_x/Delta_Point_2_y,1.2335988997097649
ratio10/5Delta_Point_2_x/Delta_Point_2_y,1.6+/-3.0
FNM300Delta_Point_3_x/Delta_Point_3_y,(2.0+/-1.9)e+02
Sum450_Delta_Point_4_x/Delta_Point_4_y,
RMSDelta_Point_5_x/Delta_Point_5_y,0.3727195469095924
ratio10/5Delta_Point_5_x/Delta_Point_5_y,2.0+/-2.2
FNM150Delta_Point_6_x/Delta_Point_6_y,441+/-24
Sum300_Delta_Point_7_x/Delta_Point_7_y,
RMSDelta_Point_8_x/Delta_Point_8_y,0.4408327624430938
ratio10/5Delta_Point_8_x/Delta_Point_8_y,1.9+/-2.5
FNM300Delta_Point_9_x/Delta_Point_9_y,(3.5+/-2.0)e+02
Sum300_Delta_Point_10_x/Delta_Point_10_y,
RMSDelta_Point_11_x/Delta_Point_11_y,0.22389360072681994
ratio10/5Delta_Point_11_x/Delta_Point_11_y,2.0+/-1.8
FNM150Delta_Point_12_x/Delta_Point_12_y,300+/-27
Sum150_Delta_Point_13_x/Delta_Point_13_y,
ratio15/10Delta_Point_13_x/Delta_Point_13_y,3.1+/-2.1
FNM300Delta_Point_14_x/Delta_Point_14_y,(3.8+/-1.7)e+02
Sum450_Delta_Point_15_x/Delta_Point_15_y,
Sum150_Delta_Point_16_x/Delta_Point_16_y,
ratio15/10Delta_Point_16_x/Delta_Point_16_y,3.0+/-2.4
FNM300Delta_Point_17_x/Delta_Point_17_y,(6+/-7)e+02
Sum450_Delta_Point_18_x/Delta_Point_18_y,
Sum150_Delta_Point_19_x/Delta_Point_19_y,
